city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bucuresti,44.4,26.0833,Romania,RO,Bucuresti,primary,1883425,1883425
Timisoara,45.7597,21.23,Romania,RO,Timis,admin,319279,319279
Cluj-Napoca,46.7667,23.6,Romania,RO,Cluj,admin,316748,282141
Brasov,45.65,25.6,Romania,RO,Brasov,admin,290743,290743
Iasi,47.1622,27.5889,Romania,RO,Iasi,admin,290422,290422
Constanta,44.1733,28.6383,Romania,RO,Constanta,admin,283872,283872
Craiova,44.3333,23.8167,Romania,RO,Dolj,admin,269506,269506
Galati,45.4233,28.0425,Romania,RO,Galati,admin,249432,249432
Ploiesti,44.9386,26.0225,Romania,RO,Prahova,admin,209945,209945
Oradea,47.0722,21.9211,Romania,RO,Bihor,admin,196367,196367
Braila,45.2692,27.9575,Romania,RO,Braila,admin,180302,180302
Arad,46.1667,21.3167,Romania,RO,Arad,admin,159074,159074
Pitesti,44.8667,24.8833,Romania,RO,Arges,admin,155383,155383
Sibiu,45.8,24.15,Romania,RO,Sibiu,admin,147245,147245
Bacau,46.5833,26.9167,Romania,RO,Bacau,admin,144307,144307
Targu-Mures,46.5497,24.5597,Romania,RO,Mures,admin,134290,134290
Baia Mare,47.6597,23.5819,Romania,RO,Maramures,admin,123738,123738
Buzau,45.1517,26.8167,Romania,RO,Buzau,admin,115494,115494
Botosani,47.7486,26.6694,Romania,RO,Botosani,admin,106847,106847
Satu Mare,47.79,22.89,Romania,RO,Satu Mare,admin,102411,102411
Ramnicu Valcea,45.1047,24.3756,Romania,RO,Valcea,admin,98776,98776
Drobeta-Turnu Severin,44.6361,22.6556,Romania,RO,Mehedinti,admin,92617,92617
Tulcea,45.1993,28.7967,Romania,RO,Tulcea,admin,92475,86288
Suceava,47.6514,26.2556,Romania,RO,Suceava,admin,92121,92121
Piatra Neamt,46.9275,26.3708,Romania,RO,Neamt,admin,85055,85055
Resita,45.297,21.8865,Romania,RO,Caras-Severin,admin,83324,81228
Targu Jiu,45.0342,23.2747,Romania,RO,Gorj,admin,82504,82504
Targoviste,44.9244,25.4572,Romania,RO,Dambovita,admin,79610,79610
Focsani,45.6997,27.1797,Romania,RO,Vrancea,admin,79315,79315
Bistrita,47.1333,24.4833,Romania,RO,Bistrita-Nasaud,admin,75076,75076
Slatina,44.4297,24.3642,Romania,RO,Olt,admin,70293,70293
Calarasi,44.2,27.3333,Romania,RO,Calarasi,admin,65181,65181
Alba Iulia,46.0764,23.5728,Romania,RO,Alba,admin,63536,63536
Giurgiu,43.9,25.9667,Romania,RO,Giurgiu,admin,61353,61353
Deva,45.8719,22.9117,Romania,RO,Hunedoara,,61123,61123
Hunedoara,45.7697,22.9203,Romania,RO,Hunedoara,admin,60525,60525
Zalau,47.1911,23.0572,Romania,RO,Salaj,admin,56202,56202
Sfantu-Gheorghe,45.8636,25.7875,Romania,RO,Covasna,admin,56006,56006
Barlad,46.2167,27.6667,Romania,RO,Vaslui,,55837,55837
Vaslui,46.6383,27.7292,Romania,RO,Vaslui,admin,55407,55407
Roman,46.93,26.93,Romania,RO,Neamt,,50713,50713
Turda,46.5667,23.7833,Romania,RO,Cluj,,47744,47744
Medias,46.1639,24.3508,Romania,RO,Sibiu,,47204,47204
Slobozia,44.5639,27.3661,Romania,RO,Ialomita,admin,45891,45891
Alexandria,43.9686,25.3333,Romania,RO,Teleorman,admin,45434,45434
Voluntari,44.4925,26.1914,Romania,RO,Bucuresti,,42944,42944
Miercurea-Ciuc,46.361,25.524,Romania,RO,Harghita,admin,42029,37980
Lugoj,45.6861,21.9006,Romania,RO,Timis,,40361,40361
Medgidia,44.2503,28.2614,Romania,RO,Constanta,,39780,39780
Onesti,46.25,26.7667,Romania,RO,Bacau,,39172,39172
Sighetu Marmatiei,47.9309,23.8947,Romania,RO,Maramures,,37640,37640
Petrosani,45.4122,23.3733,Romania,RO,Hunedoara,,37160,37160
Mangalia,43.8172,28.5828,Romania,RO,Constanta,,36364,36364
Tecuci,45.8467,27.4278,Romania,RO,Galati,,34871,34871
Odorheiu Secuiesc,46.3139,25.3017,Romania,RO,Harghita,,34257,34257
Ramnicu Sarat,45.38,27.06,Romania,RO,Buzau,,33843,33843
Pascani,47.2519,26.7231,Romania,RO,Iasi,,33745,33745
Dej,47.0872,23.8053,Romania,RO,Cluj,,33497,33497
Reghin,46.7758,24.7083,Romania,RO,Mures,,33281,33281
Navodari,44.3208,28.6125,Romania,RO,Constanta,,32981,32981
Campina,45.1281,25.7383,Romania,RO,Prahova,,32935,32935
Mioveni,44.9553,24.9356,Romania,RO,Arges,,31998,31998
Campulung,45.275,25.05,Romania,RO,Arges,,31767,31767
Caracal,44.1,24.3333,Romania,RO,Olt,,30954,30954
Sacele,45.6175,25.6878,Romania,RO,Brasov,,30798,30798
Fagaras,45.8422,24.9714,Romania,RO,Brasov,,30714,30714
Fetesti,44.415,27.8236,Romania,RO,Ialomita,,30217,30217
Sighisoara,46.2169,24.7911,Romania,RO,Mures,,28102,28102
Borsa,47.6553,24.6631,Romania,RO,Maramures,,27611,27611
Rosiori de Vede,44.065,24.9655,Romania,RO,Teleorman,,27416,27416
Curtea de Arges,45.1167,24.6667,Romania,RO,Arges,,27359,27359
Sebes,45.9547,23.57,Romania,RO,Alba,,27019,27019
Husi,46.6731,28.0647,Romania,RO,Vaslui,,26266,26266
Falticeni,47.4625,26.3,Romania,RO,Suceava,,25723,25723
Pantelimon,44.4528,26.2036,Romania,RO,Ilfov,,25596,25596
Oltenita,44.0864,26.6364,Romania,RO,Calarasi,,24822,24822
Turnu Magurele,43.7517,24.8708,Romania,RO,Teleorman,,24772,24772
Caransebes,45.4214,22.2219,Romania,RO,Caras-Severin,,24689,24689
Dorohoi,47.9597,26.3997,Romania,RO,Botosani,,24309,24309
Vulcan,45.3811,23.2914,Romania,RO,Hunedoara,,24160,24160
Radauti,47.8425,25.9192,Romania,RO,Suceava,,23822,23822
Zarnesti,45.5725,25.3431,Romania,RO,Brasov,,23476,23476
Lupeni,45.3603,23.2383,Romania,RO,Hunedoara,,23390,23390
Aiud,46.3103,23.7167,Romania,RO,Alba,,22876,22876
Petrila,45.4511,23.3981,Romania,RO,Hunedoara,,22692,22692
Campia Turzii,46.5444,23.8792,Romania,RO,Cluj,,22223,22223
Buftea,44.57,25.95,Romania,RO,Ilfov,,22178,22178
Tarnaveni,46.3297,24.27,Romania,RO,Mures,,22075,22075
Popesti-Leordeni,44.38,26.17,Romania,RO,Ilfov,,21895,21895
